,NGram,percent_in_tag,percent_in_other
0, vi,0.005107059882370178,0.0007720708752436984
1,125,2.093057328840237e-05,4.313245113093287e-06
2,1d1,2.093057328840237e-05,unique_to_tag
3,2 v,2.093057328840237e-05,4.313245113093287e-06
4,252,2.093057328840237e-05,unique_to_tag
5,52 ,2.093057328840237e-05,1.725298045237315e-05
6,71d,2.093057328840237e-05,unique_to_tag
7,d12,2.093057328840237e-05,unique_to_tag
8,iru,0.009439688553069469,0.0006771794827556461
9,rus,0.00962806371266509,0.0006167940511723401
10,vir,0.00954434141951148,0.0008669622677317507
11,1 v,2.093057328840237e-05,8.626490226186574e-06
12,31 ,2.093057328840237e-05,3.8819206017839584e-05
13,353,2.093057328840237e-05,unique_to_tag
14,531,2.093057328840237e-05,unique_to_tag
15,78v,2.093057328840237e-05,unique_to_tag
16,8v3,2.093057328840237e-05,unique_to_tag
17,v35,2.093057328840237e-05,unique_to_tag
18, de,0.0008162923582476924,0.0019452735460050723
19,a d,0.000565125478786864,0.0002760476872379704
20,abi,0.0002511668794608284,0.00020703576542847776
21,bio,0.0002720974527492308,0.000586601335380687
22,cti,0.000962806371266509,0.0024283569986715205
23,def,0.00010465286644201185,0.0002544814616725039
24,ect,0.0002720974527492308,0.0026828384603440245
25,efe,2.093057328840237e-05,0.00010351788271423888
26,fec,0.00010465286644201185,0.0016476596332016355
27,hia,0.0021349184754170416,6.038543158330602e-05
28,ia ,0.0076396592502668646,0.000767757630130605
29,iot,0.00016744458630721897,0.00028036093235106366
30,iva,0.0002720974527492308,0.00020703576542847776
31,oph,0.002260501915147456,0.0004011317955176757
32,otr,0.0007535006383824853,3.45059609047463e-05
33,phi,0.002051196182263432,0.00030624040302962334
34,rop,0.0008162923582476924,0.00043995100153551526
35,tiv,8.372229315360948e-05,0.001488069564017184
36,tro,0.0006907089185172781,0.0008324563068270043
37, ca,0.0012139732507273375,0.0019409603008919791
38,a c,0.0021767796219938464,0.0005779748451545004
39,abs,0.0001255834397304142,0.00018546953986301135
40,aer,0.0010674592377085208,7.332516692258588e-05
41,bsi,0.00018837515959562132,4.7445696244026155e-05
42,cae,0.00031395859932603555,8.626490226186574e-06
43,dia,0.001527931850053373,0.000810890081261538
44,eru,0.0001465140130188166,0.0001293973533927986
45,idi,0.002281432488435858,0.00025016821655941064
46,lea,0.00023023630617242607,0.00031486689325580994
47,rul,0.0001255834397304142,9.057814737495902e-05
48,sid,0.00023023630617242607,0.0002760476872379704
49,ule,0.00016744458630721897,0.00018115629474991805
50, ac,0.0002930280260376332,0.0008928417384103103
51,aca,0.0002093057328840237,3.45059609047463e-05
52,acr,0.0004186114657680474,0.00015096357895826503
53,aul,4.186114657680474e-05,unique_to_tag
54,cau,0.00010465286644201185,0.0005779748451545004
55,cre,0.0005232643322100592,0.0005952278256068736
56,emo,0.0009209452246897043,0.0003709390797260227
57,ium,0.008204784729053729,0.00027173444212487706
58,liu,0.0002720974527492308,4.313245113093287e-05
59,m a,0.0008790840781128995,0.00037956556995220924
60,mon,0.0032651694329907696,0.0010869377684995082
61,niu,0.00046047261234485214,4.313245113093287e-06
62,oni,0.0023442242083010654,0.0005650351098152206
63,rem,0.00043954203905644977,0.00021134901054157106
64,uli,0.0006279171986520711,6.90119218094926e-05
65,um ,0.008602465621533373,0.0006297337865116199
66, st,0.0009837369445549113,0.0015743344662790498
67,ach,0.0006279171986520711,0.0003968185504045824
68,aet,0.0002511668794608284,1.725298045237315e-05
69,ari,0.0021558490487054442,0.000526215903797381
70,cha,0.0007116394918056805,0.0006340470316247132
71,eto,0.000565125478786864,3.45059609047463e-05
72,hae,0.001360487263746154,8.195165714877245e-05
73,m s,0.000962806371266509,0.0001984092752022912
74,mar,0.0009209452246897043,0.00028036093235106366
75,miu,8.372229315360948e-05,4.313245113093287e-06
76,omi,0.0004814031856332545,0.00028036093235106366
77,riu,0.005441949054984616,0.0001337105985058919
78,rum,0.0012558343973041422,0.0001337105985058919
79,str,0.0033698222994327813,0.0011257569745173478
80,tom,0.0005023337589216568,0.000435637756422422
81,tru,0.0002511668794608284,0.00014233708873207846
82,uma,0.0013186261171693494,0.00030624040302962334
83, ru,0.000565125478786864,2.1566225565466435e-05
84,a r,0.000565125478786864,0.0004011317955176757
85,avi,0.0032651694329907696,0.0002587947067855972
86,bul,0.00037675031919124263,6.038543158330602e-05
87,chi,0.0015070012767649705,0.0005046496782319146
88,him,0.00016744458630721897,4.313245113093287e-05
89,imo,0.000397680892479645,8.626490226186574e-06
90,lav,0.0009000146514013019,3.45059609047463e-05
91,mot,0.0001255834397304142,0.0001293973533927986
92,ota,0.00023023630617242607,0.0002976139128034368
93,rub,0.0004814031856332545,1.293973533927986e-05
94,s 1,0.0006697783452288759,0.0001337105985058919
95,ta ,0.0002720974527492308,0.0003278066285950898
96,ubu,0.00031395859932603555,8.626490226186574e-06
97,ula,0.001758168156225799,0.0009144079639757768
98,us ,0.009565271992799882,0.0015613947309397699
99,s 2,0.00043954203905644977,0.00012077086316661204
