NGram,pathogen,disease,symptom,other
 abo,0.00017530788447210413,4.5800128240359075e-05,0.000956846234810066,9.898465737810639e-05
 abs,8.765394223605206e-05,0.001030502885408079,0.0007654769878480528,0.0001499767536031915
 acu,4.382697111802603e-05,2.2900064120179538e-05,0.0011482154817720792,0.00018297163939589363
 and,4.382697111802603e-05,0.00098470275716772,0.0002870538704430198,0.004376321670141128
 ane,2.1913485559013016e-05,9.160025648071815e-05,0.0005741077408860396,6.299023651334044e-05
 art,4.382697111802603e-05,0.001580104424292388,0.0001913692469620132,0.00011398233273842554
 bac,6.574045667703904e-05,0.0007786021800861042,0.0012439001052530858,0.0002309642005489149
 clo,4.382697111802603e-05,2.2900064120179538e-05,9.56846234810066e-05,7.798791187365959e-05
 col,0.0009641933645965728,4.5800128240359075e-05,0.0003827384939240264,0.00025196094605336176
 com,0.00010956742779506508,4.5800128240359075e-05,0.0006697923643670462,0.0011068284415915533
 con,0.0005040101678572994,9.160025648071815e-05,0.0018180078461391255,0.0013017982212757022
 cor,0.00030678879782618224,6.87001923605386e-05,0.0001913692469620132,0.00016497442896351065
 cra,2.1913485559013016e-05,6.87001923605386e-05,0.0022964309635441584,6.299023651334044e-05
 der,0.00010956742779506508,4.5800128240359075e-05,9.56846234810066e-05,8.398698201778724e-05
 dia,8.765394223605206e-05,0.0002519007053219749,0.0047842311740503305,0.0005069214271787873
 dis,0.00019722137003111716,0.0025419071173399285,0.0018180078461391255,0.0011068284415915533
 enc,0.00028487531226716923,0.00041220115416323167,9.56846234810066e-05,7.498837680159575e-05
 ent,0.0004163562256212473,0.0004809013465237703,0.0002870538704430198,0.00011998140288255321
 epi,8.765394223605206e-05,6.87001923605386e-05,0.000478423117405033,0.0002489614109812979
 fev,0.0002629618267081562,0.0036869103233489052,0.007272031384556502,0.00010498372752223406
 fib,2.1913485559013016e-05,0.0004809013465237703,9.56846234810066e-05,0.00010798326259429788
 flo,4.382697111802603e-05,2.2900064120179538e-05,9.56846234810066e-05,6.299023651334044e-05
 flu,8.765394223605206e-05,4.5800128240359075e-05,0.0001913692469620132,7.198884172953192e-05
 gas,4.382697111802603e-05,2.2900064120179538e-05,0.0003827384939240264,0.00017097349910763832
 gen,6.574045667703904e-05,2.2900064120179538e-05,9.56846234810066e-05,0.00044393119066544687
 gra,0.00019722137003111716,4.5800128240359075e-05,9.56846234810066e-05,0.00010498372752223406
 hem,0.00010956742779506508,0.0007099019877255656,0.0026791694574681848,0.00016497442896351065
 hep,2.1913485559013016e-05,4.5800128240359075e-05,0.0007654769878480528,0.00011098279766636172
 her,0.0002410483411491432,6.87001923605386e-05,9.56846234810066e-05,7.498837680159575e-05
 inf,0.00017530788447210413,0.012938536227901438,0.0011482154817720792,0.0013017982212757022
 int,0.0002410483411491432,2.2900064120179538e-05,0.0003827384939240264,0.0006898930665746809
 leu,2.1913485559013016e-05,2.2900064120179538e-05,0.0007654769878480528,3.299488579270213e-05
 lym,2.1913485559013016e-05,0.000297700833562334,0.0011482154817720792,9.298558723397873e-05
 mal,0.00028487531226716923,6.87001923605386e-05,0.001722323222658119,0.00017397303417970216
 men,8.765394223605206e-05,0.00016030044884125674,0.0006697923643670462,8.698651708985108e-05
 mes,8.765394223605206e-05,2.2900064120179538e-05,9.56846234810066e-05,2.3996280576510642e-05
 nec,6.574045667703904e-05,0.00020610057708161583,0.0013395847287340924,0.00013497907824287236
 neu,4.382697111802603e-05,2.2900064120179538e-05,0.0002870538704430198,0.00028495583184606386
 nod,6.574045667703904e-05,2.2900064120179538e-05,0.0003827384939240264,3.299488579270213e-05
 pan,2.1913485559013016e-05,2.2900064120179538e-05,9.56846234810066e-05,6.89893066574681e-05
 par,0.0006574045667703905,6.87001923605386e-05,0.0012439001052530858,0.0004379321205213192
 per,0.0004820966822982864,0.001145003206008977,0.0002870538704430198,0.0007078902770070639
 pne,0.00021913485559013016,0.00020610057708161583,0.0008611616113290595,0.00011998140288255321
 pos,2.1913485559013016e-05,2.2900064120179538e-05,0.0001913692469620132,0.00039593862951242556
 pro,0.00017530788447210413,6.87001923605386e-05,0.0013395847287340924,0.0013167958966360215
 pul,0.0001314809133540781,0.0002519007053219749,0.000478423117405033,8.398698201778724e-05
 pur,4.382697111802603e-05,2.2900064120179538e-05,9.56846234810066e-05,7.198884172953192e-05
 pus,2.1913485559013016e-05,2.2900064120179538e-05,9.56846234810066e-05,1.1998140288255321e-05
 ren,2.1913485559013016e-05,4.5800128240359075e-05,0.0006697923643670462,2.9995350720638302e-05
 res,0.00019722137003111716,6.87001923605386e-05,0.0008611616113290595,0.0011338242572401277
 sal,0.00021913485559013016,2.2900064120179538e-05,0.0003827384939240264,8.398698201778724e-05
 scl,4.382697111802603e-05,2.2900064120179538e-05,9.56846234810066e-05,2.099674550444681e-05
 sep,6.574045667703904e-05,0.001832005129614363,0.0001913692469620132,9.598512230604257e-05
 sho,2.1913485559013016e-05,0.0002748007694421544,0.0011482154817720792,0.0005009223570346596
 spa,2.1913485559013016e-05,2.2900064120179538e-05,9.56846234810066e-05,1.799721043238298e-05
 spe,4.382697111802603e-05,2.2900064120179538e-05,0.0001913692469620132,0.000317950717638766
 spo,2.1913485559013016e-05,0.0005496015388843089,0.0001913692469620132,4.499302608095745e-05
 sub,0.002914493579348731,4.5800128240359075e-05,9.56846234810066e-05,0.0002729576915578085
 syn,8.765394223605206e-05,0.001145003206008977,0.0001913692469620132,0.00025496048112542556
 tra,4.382697111802603e-05,0.0010076028212878997,0.0001913692469620132,0.0004079367698006809
 ulc,6.574045667703904e-05,6.87001923605386e-05,0.0002870538704430198,4.199349100889362e-05
 unc,2.1913485559013016e-05,0.00022900064120179536,9.56846234810066e-05,7.498837680159575e-05
 uri,8.765394223605206e-05,2.2900064120179538e-05,0.0001913692469620132,4.7992561153021284e-05
 vag,8.765394223605206e-05,4.5800128240359075e-05,9.56846234810066e-05,8.99860521619149e-06
 ver,0.00019722137003111716,2.2900064120179538e-05,0.0001913692469620132,6.598977158540426e-05
 whi,2.1913485559013016e-05,4.5800128240359075e-05,9.56846234810066e-05,0.0004889242167464043
abor,0.00017530788447210413,6.87001923605386e-05,0.000956846234810066,9.898465737810639e-05
absc,8.765394223605206e-05,0.00840432353210589,0.0007654769878480528,5.9990701441276604e-05
acci,2.1913485559013016e-05,2.2900064120179538e-05,0.0001913692469620132,0.000158975358819383
ache,2.1913485559013016e-05,2.2900064120179538e-05,0.004592861927088317,0.00011998140288255321
acti,0.0008984529079195337,0.0006870019236053861,9.56846234810066e-05,0.0005729111987641916
acut,4.382697111802603e-05,0.0003206008976825135,0.0011482154817720792,0.00020096884982827662
aden,0.00021913485559013016,0.0003893010900430521,0.0006697923643670462,5.099209622508511e-05
agic,0.00010956742779506508,0.0007328020518457452,0.0012439001052530858,3.299488579270213e-05
agin,0.00015339439891309112,4.5800128240359075e-05,9.56846234810066e-05,6.89893066574681e-05
aire,2.1913485559013016e-05,0.0005267014747641293,0.0001913692469620132,4.199349100889362e-05
al f,2.1913485559013016e-05,0.00011450032060089768,0.0006697923643670462,0.00022496513040478727
al m,4.382697111802603e-05,6.87001923605386e-05,0.0001913692469620132,0.0002789567617019362
alat,2.1913485559013016e-05,2.2900064120179538e-05,9.56846234810066e-05,8.99860521619149e-06
