,NGram,percent_in_tag,percent_in_other
0, a b,8.907416314823722e-05,8.907416314823722e-05
1, a c,0.00038598804030902796,0.00038598804030902796
2, bas,0.00019002488138290607,0.00019002488138290607
3, com,0.0011460875658406522,0.0011460875658406522
4, fun,0.00022565454664220095,0.00022565454664220095
5, inv,0.0003503583750497331,0.0003503583750497331
6, is ,0.0012529765616185369,0.0012529765616185369
7, of ,0.004204300500596797,0.004204300500596797
8, rot,1.7814832629647445e-05,1.7814832629647445e-05
9, woo,5.938277543215815e-06,5.938277543215815e-06
10,a ba,2.9691387716079075e-05,2.9691387716079075e-05
11,a co,0.0002731607669879275,0.0002731607669879275
12,ader,1.187655508643163e-05,1.187655508643163e-05
13,asid,5.938277543215815e-06,5.938277543215815e-06
14,basi,3.562966525929489e-05,3.562966525929489e-05
15,ceto,1.7814832629647445e-05,1.7814832629647445e-05
16,chiz,1.187655508643163e-05,1.187655508643163e-05
17,comm,0.0003978645953954596,0.0003978645953954596
18,der ,0.00010095071823466886,0.00010095071823466886
19,diom,5.938277543215815e-06,5.938277543215815e-06
20,e a ,0.00015439521612361118,0.00015439521612361118
21,en w,0.00010095071823466886,0.00010095071823466886
22,er o,0.000160333493666827,0.000160333493666827
23,etou,5.938277543215815e-06,5.938277543215815e-06
24,f ro,1.187655508643163e-05,1.187655508643163e-05
25,fung,0.00010095071823466886,0.00010095071823466886
26,gus ,1.7814832629647445e-05,1.7814832629647445e-05
27,hizo,1.7814832629647445e-05,1.7814832629647445e-05
28,hyll,1.187655508643163e-05,1.187655508643163e-05
29,idio,2.9691387716079075e-05,2.9691387716079075e-05
30,inva,8.31358856050214e-05,8.31358856050214e-05
31,iomy,1.7814832629647445e-05,1.7814832629647445e-05
32,is a,0.0008788650763959406,0.0008788650763959406
33,izop,1.7814832629647445e-05,1.7814832629647445e-05
34,llum,2.375311017286326e-05,2.375311017286326e-05
35,lum ,2.375311017286326e-05,2.375311017286326e-05
36,m co,5.938277543215815e-05,5.938277543215815e-05
37,mmon,0.00022565454664220095,0.00022565454664220095
38,mmun,0.0005641363666055024,0.0005641363666055024
39,mon ,0.00019002488138290607,0.00019002488138290607
40,mune,0.0002790990445311433,0.0002790990445311433
41,myce,6.532105297537396e-05,6.532105297537396e-05
42,n in,0.0008135440234205666,0.0008135440234205666
43,n wo,1.187655508643163e-05,1.187655508643163e-05
44,ne a,0.00014251866103717956,0.00014251866103717956
45,ngus,2.375311017286326e-05,2.375311017286326e-05
46,nvad,2.375311017286326e-05,2.375311017286326e-05
47,of r,0.0001662717712100428,0.0001662717712100428
48,ommo,0.00021971626909898516,0.00021971626909898516
49,ommu,8.907416314823722e-05,8.907416314823722e-05
50,omyc,9.501244069145303e-05,9.501244069145303e-05
51,on i,0.000546321533975855,0.000546321533975855
52,ophy,0.00014845693858039536,0.00014845693858039536
53,otte,5.938277543215815e-06,5.938277543215815e-06
54,ous ,0.0005225684238029917,0.0005225684238029917
55,phyl,8.31358856050214e-05,8.31358856050214e-05
56,r of,0.00017221004875325863,0.00017221004875325863
57,rott,5.938277543215815e-06,5.938277543215815e-06
58,s a ,0.0005878894767783657,0.0005878894767783657
59,s fu,4.15679428025107e-05,4.15679428025107e-05
60,s is,0.0003978645953954596,0.0003978645953954596
61,schi,1.187655508643163e-05,1.187655508643163e-05
62,sidi,5.938277543215815e-06,5.938277543215815e-06
63,ten ,7.125933051858978e-05,7.125933051858978e-05
64,tous,2.375311017286326e-05,2.375311017286326e-05
65,tten,8.907416314823722e-05,8.907416314823722e-05
66,um c,8.31358856050214e-05,8.31358856050214e-05
67,une ,0.000320666987333654,0.000320666987333654
68,ungu,2.375311017286326e-05,2.375311017286326e-05
69,us f,1.7814832629647445e-05,1.7814832629647445e-05
70,us i,0.00017221004875325863,0.00017221004875325863
71,vade,1.187655508643163e-05,1.187655508643163e-05
72,wood,5.938277543215815e-06,5.938277543215815e-06
73,ycet,5.344449788894233e-05,5.344449788894233e-05
74,yllu,1.187655508643163e-05,1.187655508643163e-05
75,zoph,1.187655508643163e-05,1.187655508643163e-05
76, by ,0.000932309574284883,0.000932309574284883
77, cas,0.0006235191420376606,0.0006235191420376606
78, cau,0.0005047535911733443,0.0005047535911733443
79, chi,0.0002790990445311433,0.0002790990445311433
80, cut,7.719760806180559e-05,7.719760806180559e-05
81, des,0.0001959631589261219,0.0001959631589261219
82, dis,0.0010391985700627677,0.0010391985700627677
83, esp,5.344449788894233e-05,5.344449788894233e-05
84, fir,0.00021971626909898516,0.00021971626909898516
85, gra,8.907416314823722e-05,8.907416314823722e-05
86, hum,0.000160333493666827,0.000160333493666827
87, in ,0.0030879043224722237,0.0030879043224722237
88, inf,0.001573643548952191,0.001573643548952191
89, myc,0.00010095071823466886,0.00010095071823466886
90, pap,4.750622034572652e-05,4.750622034572652e-05
91, rar,0.00012470382840753212,0.00012470382840753212
92, s. ,1.7814832629647445e-05,1.7814832629647445e-05
93, the,0.004245868443399308,0.004245868443399308
94, thi,0.00046318564837083355,0.00046318564837083355
95, we ,0.00034442009750651725,0.00034442009750651725
96, wom,7.719760806180559e-05,7.719760806180559e-05
97,. co,1.7814832629647445e-05,1.7814832629647445e-05
98,a ca,0.00013064210595074792,0.00013064210595074792
99,a ch,6.532105297537396e-05,6.532105297537396e-05
100,ally,0.0005047535911733443,0.0005047535911733443
101,aneo,8.907416314823722e-05,8.907416314823722e-05
102,ans ,0.00015439521612361118,0.00015439521612361118
103,anul,4.750622034572652e-05,4.750622034572652e-05
104,aper,2.9691387716079075e-05,2.9691387716079075e-05
105,arel,2.375311017286326e-05,2.375311017286326e-05
106,ase ,0.0009144947416552355,0.0009144947416552355
107,ause,0.00048693875854369684,0.00048693875854369684
108,be t,5.344449788894233e-05,5.344449788894233e-05
109,by s,0.00010095071823466886,0.00010095071823466886
110,c di,0.00010688899577788467,0.00010688899577788467
111,case,0.0005819511992351499,0.0005819511992351499
112,caus,0.0005403832564326392,0.0005403832564326392
113,chin,6.532105297537396e-05,6.532105297537396e-05
114,cial,0.00014845693858039536,0.00014845693858039536
115,coti,3.562966525929489e-05,3.562966525929489e-05
116,crib,0.00013658038349396374,0.00013658038349396374
117,ctio,0.0014370631654582271,0.0014370631654582271
118,cuta,6.532105297537396e-05,6.532105297537396e-05
119,d by,0.0007185315827291136,0.0007185315827291136
120,desc,0.00014251866103717956,0.00014251866103717956
121,dise,0.0006829019174698187,0.0006829019174698187
122,e de,0.0004750622034572652,0.0004750622034572652
123,e fi,0.00026128421190149584,0.00026128421190149584
124,e in,0.0012411000065321053,0.0012411000065321053
125,e of,0.0012114086188160262,0.0012114086188160262
126,e th,0.000932309574284883,0.000932309574284883
127,e wo,5.938277543215815e-05,5.938277543215815e-05
128,ease,0.0010688899577788466,0.0010688899577788466
129,ecia,6.532105297537396e-05,6.532105297537396e-05
130,ecti,0.0013836186675692849,0.0013836186675692849
131,ed b,0.0008135440234205666,0.0008135440234205666
132,ely ,0.0003741114852225963,0.0003741114852225963
133,eous,0.00012470382840753212,0.00012470382840753212
134,er w,0.00014845693858039536,0.00014845693858039536
135,es m,6.532105297537396e-05,6.532105297537396e-05
136,escr,0.00013658038349396374,0.00013658038349396374
137,ese ,0.0003503583750497331,0.0003503583750497331
138,espe,0.00014251866103717956,0.00014251866103717956
139,f cu,4.15679428025107e-05,4.15679428025107e-05
140,fect,0.0013064210595074793,0.0013064210595074793
141,firs,0.0001959631589261219,0.0001959631589261219
142,gran,4.15679428025107e-05,4.15679428025107e-05
143,he f,0.0003562966525929489,0.0003562966525929489
144,hine,2.9691387716079075e-05,2.9691387716079075e-05
145,his ,0.0007897909132477033,0.0007897909132477033
146,huma,0.00017221004875325863,0.00017221004875325863
147,iall,0.00011282727332110048,0.00011282727332110048
148,ibe ,4.750622034572652e-05,4.750622034572652e-05
149,ic d,0.00017221004875325863,0.00017221004875325863
150,in a,0.0007066550276426819,0.0007066550276426819
151,in h,0.0002019014364693377,0.0002019014364693377
152,in t,0.001157964120927084,0.001157964120927084
153,ines,0.00017221004875325863,0.00017221004875325863
154,infe,0.0009263712967416671,0.0009263712967416671
155,ion ,0.003176978485620461,0.003176978485620461
156,irst,0.0001959631589261219,0.0001959631589261219
157,is f,0.00012470382840753212,0.00012470382840753212
158,is p,0.00019002488138290607,0.00019002488138290607
159,isea,0.0006829019174698187,0.0006829019174698187
160,lly ,0.0005225684238029917,0.0005225684238029917
161,loma,3.562966525929489e-05,3.562966525929489e-05
162,ly c,0.00014251866103717956,0.00014251866103717956
163,ma c,5.344449788894233e-05,5.344449788894233e-05
164,mans,4.15679428025107e-05,4.15679428025107e-05
165,myco,0.00014251866103717956,0.00014251866103717956
166,n a ,0.00028503732207435913,0.00028503732207435913
167,n hu,4.750622034572652e-05,4.750622034572652e-05
168,n th,0.0014014335001989323,0.0014014335001989323
169,ne i,8.907416314823722e-05,8.907416314823722e-05
170,neou,9.501244069145303e-05,9.501244069145303e-05
171,nese,3.562966525929489e-05,3.562966525929489e-05
172,nfec,0.0009026181865688038,0.0009026181865688038
173,ns e,2.375311017286326e-05,2.375311017286326e-05
174,nulo,2.9691387716079075e-05,2.9691387716079075e-05
175,of c,0.00044537081574118613,0.00044537081574118613
176,oma ,0.00012470382840753212,0.00012470382840753212
177,oman,4.15679428025107e-05,4.15679428025107e-05
178,otic,0.0002019014364693377,0.0002019014364693377
179,pape,2.375311017286326e-05,2.375311017286326e-05
180,peci,0.00036817320767938054,0.00036817320767938054
181,per ,0.00018408660383969027,0.00018408660383969027
182,r we,5.938277543215815e-05,5.938277543215815e-05
183,ranu,4.15679428025107e-05,4.15679428025107e-05
184,rare,0.00014251866103717956,0.00014251866103717956
185,rely,4.15679428025107e-05,4.15679428025107e-05
186,ribe,0.00013658038349396374,0.00013658038349396374
187,rst ,0.00017814832629647445,0.00017814832629647445
188,s es,4.750622034572652e-05,4.750622034572652e-05
189,s gr,6.532105297537396e-05,6.532105297537396e-05
190,s in,0.0015261373286064644,0.0015261373286064644
191,s my,1.7814832629647445e-05,1.7814832629647445e-05
192,s pa,0.0002019014364693377,0.0002019014364693377
193,s ra,8.907416314823722e-05,8.907416314823722e-05
194,s. c,1.187655508643163e-05,1.187655508643163e-05
195,scri,0.0002078397140125535,0.0002078397140125535
196,se i,0.0002731607669879275,0.0002731607669879275
197,se o,0.00038598804030902796,0.00038598804030902796
198,se w,0.0001187655508643163,0.0001187655508643163
199,seas,0.0006829019174698187,0.0006829019174698187
200,sed ,0.0011876555086431629,0.0011876555086431629
201,ses ,0.0008907416314823723,0.0008907416314823723
202,spec,0.0007066550276426819,0.0007066550276426819
203,st c,0.00021377799155576933,0.00021377799155576933
204,t ca,0.00022565454664220095,0.00022565454664220095
205,tane,8.907416314823722e-05,8.907416314823722e-05
206,the ,0.0044596464349550766,0.0044596464349550766
207,this,0.0007363464153587611,0.0007363464153587611
208,tic ,0.0007422846929019769,0.0007422846929019769
209,tion,0.003776744517485258,0.003776744517485258
210,ulom,2.375311017286326e-05,2.375311017286326e-05
211,uman,0.00017814832629647445,0.00017814832629647445
212,us g,6.532105297537396e-05,6.532105297537396e-05
213,us r,5.344449788894233e-05,5.344449788894233e-05
214,used,0.0004572473708276177,0.0004572473708276177
215,uses,0.00024940765681506424,0.00024940765681506424
216,utan,7.719760806180559e-05,7.719760806180559e-05
217,we d,7.125933051858978e-05,7.125933051858978e-05
218,woma,2.9691387716079075e-05,2.9691387716079075e-05
219,y ca,6.532105297537396e-05,6.532105297537396e-05
220,y cu,1.187655508643163e-05,1.187655508643163e-05
221,y s.,5.938277543215815e-06,5.938277543215815e-06
222,ycot,3.562966525929489e-05,3.562966525929489e-05
223, 25-,1.187655508643163e-05,1.187655508643163e-05
224, a t,0.00013658038349396374,0.00013658038349396374
225, and,0.004465584712498293,0.004465584712498293
