,NGram,percent_in_tag,percent_in_other
0, ach,0.0012439001052530858,5.938277543215815e-05
1, ano,0.001913692469620132,1.7814832629647445e-05
2, bod,0.0005741077408860396,3.562966525929489e-05
3, fev,0.007272031384556502,0.00015439521612361118
4, hea,0.004401492680126303,0.0003562966525929489
5, joi,0.0016266385991771121,1.187655508643163e-05
6, leu,0.0007654769878480528,4.15679428025107e-05
7, pai,0.004688546550569324,0.00013658038349396374
8, thr,0.0016266385991771121,0.00024940765681506424
9, vom,0.0047842311740503305,5.938277543215815e-06
10,ache,0.004592861927088317,8.907416314823722e-05
11,adac,0.004114438809683284,4.750622034572652e-05
12,anor,0.001913692469620132,5.938277543215815e-06
13,bocy,0.000956846234810066,3.562966525929489e-05
14,body,0.0005741077408860396,7.719760806180559e-05
15,cyto,0.0010525308582910726,0.00021377799155576933
16,dach,0.004114438809683284,4.750622034572652e-05
17,dy a,0.000478423117405033,7.125933051858978e-05
18,eada,0.004114438809683284,4.750622034572652e-05
19,enia,0.0012439001052530858,6.532105297537396e-05
20,euko,0.0007654769878480528,1.7814832629647445e-05
21,ever,0.007367716008037508,0.0007125933051858978
22,exia,0.0021050617165821453,unique_to_tag
23,feve,0.007272031384556502,0.00017221004875325863
24,head,0.0042101234331642905,5.344449788894233e-05
25,hrom,0.000956846234810066,4.15679428025107e-05
26,int ,0.0016266385991771121,2.9691387716079075e-05
27,itin,0.0047842311740503305,7.719760806180559e-05
28,join,0.0016266385991771121,1.187655508643163e-05
29,kope,0.0007654769878480528,unique_to_tag
30,leuk,0.0007654769878480528,5.344449788894233e-05
31,mboc,0.000956846234810066,3.562966525929489e-05
32,miti,0.004879915797531336,5.344449788894233e-05
33,nore,0.001913692469620132,1.187655508643163e-05
34,nt p,0.0015309539756961056,0.0001662717712100428
35,ocyt,0.0010525308582910726,0.00013658038349396374
36,ody ,0.0008611616113290595,7.719760806180559e-05
37,oint,0.0016266385991771121,6.532105297537396e-05
38,ombo,0.000956846234810066,3.562966525929489e-05
39,omit,0.0047842311740503305,5.344449788894233e-05
40,open,0.0011482154817720792,7.125933051858978e-05
41,orex,0.001913692469620132,5.938277543215815e-06
42,pain,0.004688546550569324,0.00010095071823466886
43,peni,0.0011482154817720792,8.907416314823722e-05
44,rexi,0.001913692469620132,unique_to_tag
45,romb,0.000956846234810066,3.562966525929489e-05
46,t pa,0.0022964309635441584,0.00012470382840753212
47,thro,0.0016266385991771121,0.00026128421190149584
48,ting,0.004879915797531336,0.0006888401950130345
49,tope,0.0010525308582910726,7.719760806180559e-05
50,ukop,0.0007654769878480528,unique_to_tag
51,vomi,0.0047842311740503305,5.938277543215815e-06
52,y ac,0.000478423117405033,5.344449788894233e-05
53,ytop,0.0010525308582910726,4.15679428025107e-05
54, abd,0.004401492680126303,4.15679428025107e-05
55, app,0.0011482154817720792,0.00028503732207435913
56, cer,0.0002870538704430198,8.31358856050214e-05
57, chi,0.001722323222658119,0.0002790990445311433
58, cou,0.0022007463400631516,0.00032660526487686984
59, dia,0.0047842311740503305,0.0003741114852225963
60, dis,0.0018180078461391255,0.0010391985700627677
61, dys,0.001435269352215099,7.719760806180559e-05
62, ede,0.000956846234810066,3.562966525929489e-05
63, fat,0.0010525308582910726,7.719760806180559e-05
64, hoa,0.0001913692469620132,unique_to_tag
65, in ,0.0003827384939240264,0.0030879043224722237
66, les,0.0003827384939240264,0.00028503732207435913
67, los,0.001913692469620132,0.00013658038349396374
68, lym,0.0011482154817720792,8.907416314823722e-05
69, mal,0.001722323222658119,0.00017221004875325863
70, mus,0.0018180078461391255,6.532105297537396e-05
71, nau,0.003923069562721271,1.187655508643163e-05
72, nig,0.0005741077408860396,unique_to_tag
73, of ,0.0029662233279112047,0.004204300500596797
74, oro,9.56846234810066e-05,5.938277543215815e-06
75, swe,0.0012439001052530858,2.9691387716079075e-05
76, tox,0.0005741077408860396,4.750622034572652e-05
77,abdo,0.004592861927088317,3.562966525929489e-05
78,aden,0.0006697923643670462,8.31358856050214e-05
79,agia,0.0005741077408860396,5.938277543215815e-06
80,aise,0.001722323222658119,1.187655508643163e-05
81,al d,0.0012439001052530858,0.0002790990445311433
82,al e,0.0005741077408860396,0.00022565454664220095
83,al l,0.0002870538704430198,0.00014845693858039536
84,al p,0.003157592574873218,0.00038004976276581213
85,alai,0.001722323222658119,unique_to_tag
86,appe,0.0011482154817720792,0.00013064210595074792
87,arrh,0.0047842311740503305,8.31358856050214e-05
88,arse,0.0001913692469620132,unique_to_tag
89,aryn,0.000478423117405033,3.562966525929489e-05
90,at p,0.0006697923643670462,0.00011282727332110048
91,athy,0.0002870538704430198,2.9691387716079075e-05
92,atig,0.0010525308582910726,5.938277543215815e-06
93,ause,0.003923069562721271,0.00048693875854369684
94,bdom,0.004592861927088317,3.562966525929489e-05
95,cal ,0.000478423117405033,0.0011342110107542206
96,cerv,0.0001913692469620132,5.938277543215815e-06
97,chil,0.001722323222658119,0.00017814832629647445
98,cles,0.0008611616113290595,2.9691387716079075e-05
99,comf,0.0003827384939240264,unique_to_tag
100,coug,0.0022964309635441584,2.375311017286326e-05
101,dema,0.000956846234810066,4.15679428025107e-05
102,deno,0.0002870538704430198,8.31358856050214e-05
103,diar,0.0047842311740503305,6.532105297537396e-05
104,disc,0.0010525308582910726,9.501244069145303e-05
105,domi,0.004592861927088317,4.750622034572652e-05
106,dysp,0.0012439001052530858,2.375311017286326e-05
107,eats,0.0005741077408860396,unique_to_tag
108,edem,0.000956846234810066,3.562966525929489e-05
109,emia,0.001435269352215099,7.125933051858978e-05
110,enes,0.0007654769878480528,0.0001662717712100428
111,enop,0.0002870538704430198,unique_to_tag
112,ervi,0.0001913692469620132,4.750622034572652e-05
113,es a,0.0007654769878480528,0.0007897909132477033
114,esio,0.0003827384939240264,0.0002790990445311433
115,etit,0.0010525308582910726,unique_to_tag
116,f ap,0.0007654769878480528,1.7814832629647445e-05
117,fati,0.0010525308582910726,5.938277543215815e-06
118,fort,0.0003827384939240264,2.375311017286326e-05
119,ght ,0.0010525308582910726,0.00024940765681506424
120,hade,0.0006697923643670462,unique_to_tag
121,hagi,0.001722323222658119,5.938277543215815e-05
122,hary,0.000478423117405033,3.562966525929489e-05
123,hill,0.001722323222658119,1.187655508643163e-05
124,hoar,0.0001913692469620132,unique_to_tag
125,hroa,0.0007654769878480528,1.7814832629647445e-05
126,ht s,0.0005741077408860396,1.7814832629647445e-05
127,iarr,0.0047842311740503305,6.532105297537396e-05
128,ical,0.000478423117405033,0.0012292234514456736
129,ight,0.0015309539756961056,0.0003562966525929489
130,igue,0.0010525308582910726,5.938277543215815e-06
131,ills,0.001722323222658119,2.375311017286326e-05
132,in o,9.56846234810066e-05,0.00014251866103717956
133,inal,0.0047842311740503305,0.0002375311017286326
