,NGram,percent_in_tag,percent_in_other
0, absc,0.001104375782266179,5.8716630604869373e-05
1,absce,0.00900679804648195,5.8716630604869373e-05
2,ain a,0.00031904189265467397,5.5780799074625903e-05
3,almit,0.0005399170491079098,8.807494590730405e-06
4,ardit,0.006601713009546715,4.990913601413896e-05
5,brain,0.00031904189265467397,5.8716630604869373e-05
6,bsces,0.00900679804648195,5.8716630604869373e-05
7,cardi,0.0072152551108057034,0.00014679157651217343
8,ditis,0.0066262546935970746,5.8716630604869373e-05
9,docar,0.006209046064740963,5.871663060486937e-06
10,dopht,0.0005399170491079098,unique_to_tag
11,eliti,0.0026750435614891896,1.4679157651217343e-05
12,endoc,0.006209046064740963,2.6422483772191217e-05
13,endop,0.0005399170491079098,5.871663060486937e-06
14,eomye,0.0025523351412373918,8.807494590730405e-06
15,erito,0.0024787100890863133,8.807494590730405e-06
16,halmi,0.0005644587331582693,1.1743326120973873e-05
17,hthal,0.0005644587331582693,1.1743326120973873e-05
18,in ab,0.00031904189265467397,8.807494590730405e-06
19,itoni,0.0024787100890863133,5.871663060486937e-06
20,litis,0.003656710923503571,6.165246213511284e-05
21,lmiti,0.0005399170491079098,8.807494590730405e-06
22,mitis,0.0005399170491079098,8.807494590730405e-06
23,myeli,0.0026750435614891896,4.697330448389549e-05
24,n abs,0.00031904189265467397,unique_to_tag
25,ndoca,0.006209046064740963,5.871663060486937e-06
26,ndoph,0.0005399170491079098,unique_to_tag
27,nitis,0.0029204604019927847,1.761498918146081e-05
28,ocard,0.007166171742704984,3.816580989316509e-05
29,omyel,0.0026750435614891896,2.3486652241947747e-05
30,oniti,0.0025523351412373918,2.9358315302434683e-06
31,ophth,0.0005644587331582693,1.1743326120973873e-05
32,osteo,0.0025523351412373918,1.4679157651217343e-05
33,perit,0.0024787100890863133,1.1743326120973873e-05
34,phtha,0.0005644587331582693,1.1743326120973873e-05
35,rain ,0.00031904189265467397,9.688244049803446e-05
36,rditi,0.006601713009546715,4.990913601413896e-05
37,riton,0.0024787100890863133,8.807494590730405e-06
38,scess,0.00900679804648195,5.8716630604869373e-05
39,steom,0.0025523351412373918,8.807494590730405e-06
40,teomy,0.0025523351412373918,8.807494590730405e-06
41,thalm,0.0005644587331582693,1.1743326120973873e-05
42,tonit,0.0024787100890863133,2.9358315302434683e-06
43,yelit,0.0026750435614891896,1.4679157651217343e-05
44, cyst,0.000687167153410067,3.229414683267816e-05
45, fibr,0.0005153753650575503,0.00010568993508876487
46, in c,0.0005153753650575503,0.00023193069088923402
47, infe,0.013866051488453138,0.0007603803663330584
48, line,0.00014725010430215722,5.2844967544382433e-05
49, peri,0.001153459150366898,0.00035229978362921624
50, seps,0.0018897096718776842,4.990913601413896e-05
51,aemia,0.014847718850467519,1.1743326120973873e-05
52,apd p,0.0008589589417625838,unique_to_tag
53,ar in,0.00017179178835251675,3.816580989316509e-05
54,ar li,0.00014725010430215722,2.9358315302434683e-06
55,ary i,0.0010307507301151005,3.522997836292162e-05
56,ascul,0.0003435835767050335,4.990913601413896e-05
57,atiti,0.00044175031290647165,0.00014679157651217343
58,brosi,0.0005153753650575503,5.5780799074625903e-05
59,c fib,0.0005153753650575503,8.807494590730405e-06
60,caemi,0.003534002503251773,unique_to_tag
61,capd ,0.0008589589417625838,unique_to_tag
62,ction,0.013596092963899183,0.001291765873307126
63,cular,0.0003435835767050335,0.0002055082071170428
