,NGram,percent_in_tag,percent_in_other
0, a ,0.0022299477234692293,0.0022299477234692293
1, ba,0.0006211072962854333,0.0006211072962854333
2, co,0.003144355687445006,0.003144355687445006
3, fu,0.00043995100153551526,0.00043995100153551526
4, in,0.005089629233450079,0.005089629233450079
5, is,0.001444937112886251,0.001444937112886251
6, of,0.004623798761236003,0.004623798761236003
7, ro,0.00030624040302962334,0.00030624040302962334
8, wo,0.00032349338348199654,0.00032349338348199654
9,a b,0.0001639033142975449,0.0001639033142975449
10,a c,0.0005779748451545004,0.0005779748451545004
11,ade,0.00017684304963682475,0.00017684304963682475
12,asi,0.0004226980210831421,0.0004226980210831421
13,bas,0.0002889874225772502,0.0002889874225772502
14,cet,7.332516692258588e-05,7.332516692258588e-05
15,chi,0.0005046496782319146,0.0005046496782319146
16,com,0.001518262279808837,0.001518262279808837
17,der,0.0006944324632080192,0.0006944324632080192
18,dio,0.00014233708873207846,0.00014233708873207846
19,e a,0.0022644536843739755,0.0022644536843739755
20,en ,0.0014535636031124378,0.0014535636031124378
21,er ,0.0022946464001656285,0.0022946464001656285
22,eto,3.45059609047463e-05,3.45059609047463e-05
23,f r,0.00018546953986301135,0.00018546953986301135
24,fun,0.0002933006676903435,0.0002933006676903435
25,gus,6.038543158330602e-05,6.038543158330602e-05
26,hiz,1.725298045237315e-05,1.725298045237315e-05
27,hyl,0.00015527682407135833,0.00015527682407135833
28,idi,0.00025016821655941064,0.00025016821655941064
29,inv,0.00045289073687479513,0.00045289073687479513
30,iom,0.00010351788271423888,0.00010351788271423888
31,is ,0.0031184762167664466,0.0031184762167664466
32,izo,2.1566225565466435e-05,2.1566225565466435e-05
33,llu,0.00012508410827970532,0.00012508410827970532
34,lum,0.00012508410827970532,0.00012508410827970532
35,m c,0.0002027225203153845,0.0002027225203153845
36,mmo,0.0002889874225772502,0.0002889874225772502
37,mmu,0.0005995410707199669,0.0005995410707199669
38,mon,0.0010869377684995082,0.0010869377684995082
39,mun,0.0006038543158330601,0.0006038543158330601
40,myc,0.00028036093235106366,0.00028036093235106366
41,n i,0.001082624523386415,0.001082624523386415
42,n w,0.000797950345922258,0.000797950345922258
43,ne ,0.0013672987008505719,0.0013672987008505719
44,ngu,9.92046376011456e-05,9.92046376011456e-05
45,nva,9.92046376011456e-05,9.92046376011456e-05
46,of ,0.004615172271009817,0.004615172271009817
47,omm,0.000465830472214075,0.000465830472214075
48,omy,0.00021997550076775763,0.00021997550076775763
49,on ,0.003791342454408999,0.003791342454408999
50,ood,0.0002760476872379704,0.0002760476872379704
51,oph,0.0004011317955176757,0.0004011317955176757
52,ott,4.313245113093287e-05,4.313245113093287e-05
53,ous,0.0006599265023032729,0.0006599265023032729
54,phy,0.0003321198737081831,0.0003321198737081831
55,r o,0.0003579993443867428,0.0003579993443867428
56,rot,0.0006469867669639931,0.0006469867669639931
57,s a,0.003213367609254499,0.003213367609254499
58,s f,0.0008842152481841238,0.0008842152481841238
59,s i,0.0021738755369990165,0.0021738755369990165
60,sch,0.00011214437294042547,0.00011214437294042547
61,sid,0.0002760476872379704,0.0002760476872379704
62,ten,0.0006340470316247132,0.0006340470316247132
63,tou,4.7445696244026155e-05,4.7445696244026155e-05
64,tte,0.0002631079518986905,0.0002631079518986905
65,um ,0.0006297337865116199,0.0006297337865116199
66,une,0.0002976139128034368,0.0002976139128034368
67,ung,0.0003623125894998361,0.0003623125894998361
68,us ,0.0015613947309397699,0.0015613947309397699
69,vad,1.293973533927986e-05,1.293973533927986e-05
70,woo,8.626490226186574e-06,8.626490226186574e-06
71,yce,6.038543158330602e-05,6.038543158330602e-05
72,yll,8.626490226186574e-06,8.626490226186574e-06
73,zop,1.293973533927986e-05,1.293973533927986e-05
74, by,0.0009963596211245492,0.0009963596211245492
75, ca,0.0019409603008919791,0.0019409603008919791
76, ch,0.0010653715429340418,0.0010653715429340418
77, cu,0.0004572039819878884,0.0004572039819878884
78, de,0.0019452735460050723,0.0019452735460050723
79, di,0.0021566225565466434,0.0021566225565466434
80, es,0.0002544814616725039,0.0002544814616725039
81, fi,0.0006081675609461534,0.0006081675609461534
82, gr,0.0005089629233450078,0.0005089629233450078
83, hu,0.0002329152361070375,0.0002329152361070375
84, my,0.0002027225203153845,0.0002027225203153845
85, pa,0.0023032728903918153,0.0023032728903918153
86, ra,0.0007289384241127655,0.0007289384241127655
87, s.,9.489139248805231e-05,9.489139248805231e-05
88, th,0.005305291489104743,0.005305291489104743
89, we,0.002087610634737151,0.002087610634737151
90,. c,5.607218647021273e-05,5.607218647021273e-05
91,all,0.0011343834647435345,0.0011343834647435345
92,ane,0.0002933006676903435,0.0002933006676903435
93,ans,0.0005089629233450078,0.0005089629233450078
94,anu,0.00016821655941063818,0.00016821655941063818
95,ape,0.00016821655941063818,0.00016821655941063818
96,are,0.0011300702196304412,0.0011300702196304412
97,ase,0.002074670899397871,0.002074670899397871
98,aus,0.0006038543158330601,0.0006038543158330601
99,be ,0.0005995410707199669,0.0005995410707199669
100,by ,0.001022239091803109,0.001022239091803109
101,c d,0.00021134901054157106,0.00021134901054157106
102,cas,0.0007634443850175117,0.0007634443850175117
103,cau,0.0005779748451545004,0.0005779748451545004
104,cia,0.0005736616000414071,0.0005736616000414071
105,cot,4.7445696244026155e-05,4.7445696244026155e-05
106,cri,0.00030192715791653007,0.00030192715791653007
107,cti,0.0024283569986715205,0.0024283569986715205
108,cut,0.0003709390797260227,0.0003709390797260227
109,d b,0.0012982867790410793,0.0012982867790410793
110,des,0.00048308345266644814,0.00048308345266644814
111,dis,0.0012767205534756128,0.0012767205534756128
112,e d,0.0011516364451959076,0.0011516364451959076
113,e f,0.0011688894256482807,0.0011688894256482807
114,e i,0.0019452735460050723,0.0019452735460050723
115,e o,0.001789996721933714,0.001789996721933714
116,e t,0.0019193940753265127,0.0019193940753265127
117,e w,0.0009489139248805231,0.0009489139248805231
118,eas,0.0014363106226600645,0.0014363106226600645
119,eci,0.0004615172271009817,0.0004615172271009817
120,ect,0.0026828384603440245,0.0026828384603440245
121,ed ,0.005732302755300978,0.005732302755300978
122,ely,0.000526215903797381,0.000526215903797381
123,eou,0.0001293973533927986,0.0001293973533927986
124,es ,0.003131415952105726,0.003131415952105726
125,esc,0.00030624040302962334,0.00030624040302962334
126,ese,0.0010265523369162022,0.0010265523369162022
127,esp,0.0007030589534342057,0.0007030589534342057
128,f c,0.0003709390797260227,0.0003709390797260227
129,fec,0.0016476596332016355,0.0016476596332016355
130,fir,0.0002933006676903435,0.0002933006676903435
131,gra,0.0003623125894998361,0.0003623125894998361
132,he ,0.005076689498110799,0.005076689498110799
133,hin,0.0002976139128034368,0.0002976139128034368
134,his,0.0010610582978209486,0.0010610582978209486
135,hum,0.00024154172633322407,0.00024154172633322407
136,ial,0.001112817239178068,0.001112817239178068
137,ibe,0.0001595900691844516,0.0001595900691844516
138,ic ,0.00217818878211211,0.00217818878211211
139,in ,0.004088956367212436,0.004088956367212436
140,ine,0.0012680940632494263,0.0012680940632494263
141,inf,0.001772743741481341,0.001772743741481341
142,ion,0.004477148427390832,0.004477148427390832
143,irs,0.00018115629474991805,0.00018115629474991805
144,ise,0.0008971549835234037,0.0008971549835234037
145,lly,0.0005822880902675938,0.0005822880902675938
146,lom,6.46986766963993e-05,6.46986766963993e-05
147,ly ,0.001984092752022912,0.001984092752022912
148,ma ,0.00028467417746415693,0.00028467417746415693
149,man,0.0006383602767378064,0.0006383602767378064
150,n a,0.0016951053294456616,0.0016951053294456616
151,n h,0.0004701437173271683,0.0004701437173271683
152,n t,0.002122116595641897,0.002122116595641897
153,neo,0.00021566225565466433,0.00021566225565466433
154,nes,0.0004701437173271683,0.0004701437173271683
155,nfe,0.0011688894256482807,0.0011688894256482807
156,ns ,0.0016649126136540086,0.0016649126136540086
157,nul,9.92046376011456e-05,9.92046376011456e-05
158,oma,0.0003278066285950898,0.0003278066285950898
159,oti,0.0004701437173271683,0.0004701437173271683
160,pap,5.175894135711944e-05,5.175894135711944e-05
161,pec,0.0008238298166008178,0.0008238298166008178
162,per,0.001143009954969721,0.001143009954969721
163,r w,0.0002631079518986905,0.0002631079518986905
164,ran,0.000767757630130605,0.000767757630130605
165,rar,0.00015096357895826503,0.00015096357895826503
166,rel,0.0003925053052914891,0.0003925053052914891
167,rib,0.00033643311882127635,0.00033643311882127635
168,rst,0.00020703576542847776,0.00020703576542847776
169,s e,0.00040975828574386225,0.00040975828574386225
170,s g,0.00023722848122013077,0.00023722848122013077
171,s m,0.0005219026586842878,0.0005219026586842878
172,s p,0.0009532271699936164,0.0009532271699936164
173,s r,0.0007634443850175117,0.0007634443850175117
174,s. ,9.489139248805231e-05,9.489139248805231e-05
175,scr,0.0002933006676903435,0.0002933006676903435
176,se ,0.0021005503700764305,0.0021005503700764305
177,sea,0.0009057814737495903,0.0009057814737495903
178,sed,0.0011947688963268404,0.0011947688963268404
179,ses,0.0012379013474577733,0.0012379013474577733
180,spe,0.0008583357775055641,0.0008583357775055641
181,st ,0.0012249616121184934,0.0012249616121184934
182,t c,0.000707372198547299,0.000707372198547299
183,tan,0.0006124808060592467,0.0006124808060592467
184,the,0.005538206725211781,0.005538206725211781
185,thi,0.001022239091803109,0.001022239091803109
186,tic,0.0014319973775469713,0.0014319973775469713
187,tio,0.0039638722589327305,0.0039638722589327305
188,ulo,0.00017252980452373148,0.00017252980452373148
189,uma,0.00030624040302962334,0.00030624040302962334
190,use,0.001082624523386415,0.001082624523386415
191,uta,0.00018546953986301135,0.00018546953986301135
192,we ,0.0006685529925294594,0.0006685529925294594
193,wom,6.90119218094926e-05,6.90119218094926e-05
194,y c,0.0004615172271009817,0.0004615172271009817
195,y s,0.0005477821293628474,0.0005477821293628474
196,yco,0.00021134901054157106,0.00021134901054157106
197, 25,6.90119218094926e-05,6.90119218094926e-05
198, an,0.005387243146253515,0.005387243146253515
199, ce,0.0006469867669639931,0.0006469867669639931
200, er,9.057814737495902e-05,9.057814737495902e-05
201, fe,0.0005305291489104743,0.0005305291489104743
202, fo,0.0019452735460050723,0.0019452735460050723
203, he,0.0010049861113507357,0.0010049861113507357
204, hi,0.0008540225323924708,0.0008540225323924708
205, le,0.0009747933955590828,0.0009747933955590828
206, no,0.0009100947188626835,0.0009100947188626835
207, on,0.0010955642587256948,0.0010955642587256948
208, ou,0.0004011317955176757,0.0004011317955176757
209, pr,0.0024671762046893603,0.0024671762046893603
210, sc,0.00031055364814271667,0.00031055364814271667
211, so,0.0003838788150653025,0.0003838788150653025
212, to,0.0027259709114749574,0.0027259709114749574
213, tw,0.00022428874588085093,0.00022428874588085093
214, wa,0.0017641172512551544,0.0017641172512551544
215, wi,0.0022817066648263486,0.0022817066648263486
216,-ol,0.00015527682407135833,0.00015527682407135833
217,-ye,0.0001639033142975449,0.0001639033142975449
218,25-,4.313245113093287e-06,4.313245113093287e-06
219,5-y,3.8819206017839584e-05,3.8819206017839584e-05
220,a 2,3.8819206017839584e-05,3.8819206017839584e-05
221,a p,0.0005089629233450078,0.0005089629233450078
222,a t,0.0003191801383689032,0.0003191801383689032
223,ale,0.0005089629233450078,0.0005089629233450078
224,and,0.004809268301099015,0.004809268301099015
225,apu,4.313245113093287e-05,4.313245113093287e-05
226,ar ,0.0006124808060592467,0.0006124808060592467
227,ar-,0.00015527682407135833,0.00015527682407135833
228,as ,0.0027691033626058904,0.0027691033626058904
229,ati,0.003877607356670865,0.003877607356670865
230,cal,0.0014018046617553183,0.0014018046617553183
231,cen,0.0003968185504045824,0.0003968185504045824
232,d f,0.000871275512844844,0.000871275512844844
233,d s,0.0008324563068270043,0.0008324563068270043
234,d t,0.0022730801746001623,0.0022730801746001623
235,dul,0.00016821655941063818,0.00016821655941063818
236,ear,0.0008971549835234037,0.0008971549835234037
237,eft,0.00010351788271423888,0.00010351788271423888
238,ema,0.0003623125894998361,0.0003623125894998361
239,ent,0.00401563120028985,0.00401563120028985
240,ery,0.00025016821655941064,0.00025016821655941064
241,f e,0.00022428874588085093,0.00022428874588085093
242,f l,0.00015527682407135833,0.00015527682407135833
243,fem,6.90119218094926e-05,6.90119218094926e-05
244,foo,3.45059609047463e-05,3.45059609047463e-05
245,ft ,0.00010783112782733217,0.00010783112782733217
246,h a,0.0007332516692258587,0.0007332516692258587
247,hem,0.00032349338348199654,0.00032349338348199654
248,her,0.0015398285053743034,0.0015398285053743034
249,ien,0.0014837563189040908,0.0014837563189040908
250,ist,0.000979106640672176,0.000979106640672176
251,ith,0.0023032728903918153,0.0023032728903918153
252,ld ,0.0006383602767378064,0.0006383602767378064
253,le ,0.0014018046617553183,0.0014018046617553183
254,lef,9.489139248805231e-05,9.489139248805231e-05
255,les,0.000810890081261538,0.000810890081261538
256,mal,0.0006211072962854333,0.0006211072962854333
257,nd ,0.004856713997343041,0.004856713997343041
258,nod,6.90119218094926e-05,6.90119218094926e-05
259,nt ,0.0024671762046893603,0.0024671762046893603
260,nte,0.0010265523369162022,0.0010265523369162022
261,o o,0.00016821655941063818,0.00016821655941063818
262,o-y,1.293973533927986e-05,1.293973533927986e-05
263,odu,0.00030624040302962334,0.00030624040302962334
264,old,0.00028036093235106366,0.00028036093235106366
265,ole,0.00038819206017839584,0.00038819206017839584
266,oot,1.725298045237315e-05,1.725298045237315e-05
267,ory,0.0006858059729818326,0.0006858059729818326
268,ot ,0.0003321198737081831,0.0003321198737081831
269,our,0.0005909145804937803,0.0005909145804937803
270,out,0.000526215903797381,0.000526215903797381
271,pat,0.00185038215351702,0.00185038215351702
272,pre,0.001475129828677904,0.001475129828677904
273,pul,0.0003278066285950898,0.0003278066285950898
274,r h,0.00018978278497610462,0.00018978278497610462
275,r s,0.000405445040630769,0.000405445040630769
276,r-o,0.0001293973533927986,0.0001293973533927986
277,res,0.0025534411069512257,0.0025534411069512257
278,ry ,0.0012939735339279862,0.0012939735339279862
279,ryt,4.313245113093287e-05,4.313245113093287e-05
280,s n,0.0003536860992736495,0.0003536860992736495
281,s o,0.0019280205655526992,0.0019280205655526992
282,sca,0.00011645761805351875,0.00011645761805351875
283,sen,0.0008238298166008178,0.0008238298166008178
284,sol,0.0003536860992736495,0.0003536860992736495
285,sto,0.0004226980210831421,0.0004226980210831421
286,t f,0.00034505960904746295,0.00034505960904746295
287,t w,0.0004615172271009817,0.0004615172271009817
288,ted,0.0029373199220165285,0.0029373199220165285
289,ter,0.0022644536843739755,0.0022644536843739755
290,th ,0.0025275616362726663,0.0025275616362726663
291,tie,0.0013543589655112922,0.0013543589655112922
292,to ,0.0026655854798916514,0.0026655854798916514
293,tor,0.0012680940632494263,0.0012680940632494263
294,tpa,4.7445696244026155e-05,4.7445696244026155e-05
295,two,0.0002329152361070375,0.0002329152361070375
296,ule,0.00018115629474991805,0.00018115629474991805
297,ur ,0.00045289073687479513,0.00045289073687479513
298,utp,2.587947067855972e-05,2.587947067855972e-05
299,was,0.0016951053294456616,0.0016951053294456616
