,NGram,percent_in_tag,percent_in_other
0, ac,0.0023775558725630053,0.0008928417384103103
1, an,0.0023775558725630053,0.005387243146253515
2, bo,0.0005706134094151213,0.00034505960904746295
3, fe,0.007513076557299096,0.0005305291489104743
4, he,0.005801236329053733,0.0010049861113507357
5, jo,0.0016167379933428436,3.019271579165301e-05
6, le,0.0019971469329529245,0.0009747933955590828
7, pa,0.005420827389443652,0.0023032728903918153
8, th,0.001806942463147884,0.005305291489104743
9, vo,0.004755111745126011,8.195165714877245e-05
10,ach,0.00456490727532097,0.0003968185504045824
11,ada,0.004089396100808369,0.00018115629474991805
12,ain,0.00466000951022349,0.0009963596211245492
13,ano,0.0019971469329529245,0.00011214437294042547
14,boc,0.0009510223490252021,3.45059609047463e-05
15,bod,0.0005706134094151213,0.00016821655941063818
16,che,0.004945316214931051,0.0004572039819878884
17,cyt,0.0011412268188302425,0.0002889874225772502
18,dac,0.004089396100808369,9.92046376011456e-05
19,dy ,0.0009510223490252021,0.0005348423940235676
20,ead,0.004184498335710889,0.00030624040302962334
21,eni,0.0019020446980504042,0.0005305291489104743
22,euk,0.0007608178792201616,6.46986766963993e-05
23,eve,0.0073228720874940565,0.0015700212211659564
24,exi,0.0020922491678554444,6.90119218094926e-05
25,fev,0.007227769852591536,0.0001639033142975449
26,hea,0.007513076557299096,0.0005305291489104743
27,hro,0.001806942463147884,0.0004917099428926347
28,ing,0.005420827389443652,0.002963199392695088
29,int,0.001806942463147884,0.0008669622677317507
30,iti,0.005515929624346172,0.0017382377805765946
31,joi,0.0016167379933428436,2.1566225565466435e-05
32,kop,0.0007608178792201616,4.313245113093287e-06
33,leu,0.0008559201141226819,9.92046376011456e-05
34,mbo,0.0009510223490252021,0.00010351788271423888
35,mit,0.0048502139800285305,0.00032349338348199654
36,nia,0.0023775558725630053,0.0003191801383689032
37,nor,0.0019971469329529245,0.0002544814616725039
38,nt ,0.002282453637660485,0.0024671762046893603
39,ocy,0.0010461245839277222,0.00017252980452373148
40,ody,0.0009510223490252021,0.00010783112782733217
41,oin,0.0016167379933428436,0.00016821655941063818
42,omb,0.0009510223490252021,0.00018978278497610462
43,omi,0.005706134094151213,0.00028036093235106366
44,ope,0.0011412268188302425,0.00041838477597004885
45,ore,0.0020922491678554444,0.0006254205413985266
46,pai,0.00466000951022349,0.00022428874588085093
47,pen,0.0012363290537327628,0.00025016821655941064
48,rex,0.0019020446980504042,3.45059609047463e-05
49,rom,0.0012363290537327628,0.0011818291609875606
50,t p,0.002282453637660485,0.0005003364331188213
51,thr,0.0021873514027579647,0.0005305291489104743
52,tin,0.0048502139800285305,0.000992046376011456
53,top,0.0017118402282453639,0.00030624040302962334
54,uko,0.0007608178792201616,2.1566225565466435e-05
55,ver,0.007417974322396576,0.0014363106226600645
56,vom,0.004755111745126011,4.313245113093287e-06
57,xia,0.0023775558725630053,3.8819206017839584e-05
58,y a,0.00047551117451260106,0.0010438053173685755
59,yto,0.0010461245839277222,0.00021997550076775763
60, ab,0.005230622919638612,0.000496023188005728
61, ap,0.0012363290537327628,0.0003838788150653025
62, ce,0.0002853067047075606,0.0006469867669639931
63, ch,0.0026628625772705658,0.0010653715429340418
64, co,0.003613884926295768,0.003144355687445006
65, di,0.005420827389443652,0.0021566225565466434
66, dy,0.0014265335235378032,9.057814737495902e-05
67, ed,0.0009510223490252021,3.8819206017839584e-05
68, fa,0.0021873514027579647,0.0007116854436603924
69, ho,0.0001902044698050404,0.0005305291489104743
70, in,0.0020922491678554444,0.005089629233450079
71, lo,0.002282453637660485,0.000526215903797381
72, ly,0.0011412268188302425,8.195165714877245e-05
73, ma,0.0017118402282453639,0.0013802384361898518
74, mu,0.0020922491678554444,0.0004917099428926347
75, na,0.0042796005706134095,0.00018546953986301135
76, ni,0.0005706134094151213,9.057814737495902e-05
77, of,0.0029481692819781267,0.004623798761236003
78, or,0.0001902044698050404,0.0007418781594520454
79, sw,0.0014265335235378032,9.057814737495902e-05
80, to,0.0011412268188302425,0.0027259709114749574
81,abd,0.00456490727532097,6.038543158330602e-05
82,ade,0.0006657156443176414,0.00017684304963682475
83,agi,0.001806942463147884,0.0001639033142975449
84,ais,0.0017118402282453639,1.293973533927986e-05
85,al ,0.005611031859248692,0.003562740463415055
86,ala,0.001806942463147884,0.00014665033384517176
87,app,0.0011412268188302425,0.00031055364814271667
88,arr,0.004755111745126011,0.00021134901054157106
89,ars,0.0002853067047075606,0.0002544814616725039
90,ary,0.0012363290537327628,0.000526215903797381
91,at ,0.0007608178792201616,0.0013543589655112922
92,ath,0.0006657156443176414,0.0006685529925294594
93,ati,0.0035187826913932476,0.003877607356670865
94,ats,0.0005706134094151213,4.313245113093287e-05
95,aus,0.003994293865905849,0.0006038543158330601
96,bdo,0.00456490727532097,5.175894135711944e-05
97,cal,0.00047551117451260106,0.0014018046617553183
98,cer,0.0005706134094151213,0.00031055364814271667
99,chi,0.0021873514027579647,0.0005046496782319146
100,cle,0.0019020446980504042,0.0003407463639343697
101,com,0.0008559201141226819,0.001518262279808837
102,cou,0.0023775558725630053,0.00037956556995220924
103,dem,0.0009510223490252021,0.00043132451130932866
104,den,0.0015216357584403233,0.000767757630130605
105,dia,0.004945316214931051,0.000810890081261538
106,dis,0.001806942463147884,0.0012767205534756128
107,dom,0.00456490727532097,0.00027173444212487706
108,dys,0.0014265335235378032,9.057814737495902e-05
109,eat,0.0014265335235378032,0.0009402874346543365
110,ede,0.0009510223490252021,9.057814737495902e-05
111,ema,0.0013314312886352829,0.0003623125894998361
112,emi,0.0015216357584403233,0.0004917099428926347
113,ene,0.0008559201141226819,0.0006513000120770863
114,eno,0.0006657156443176414,0.0003925053052914891
115,erv,0.0003804089396100808,0.00033643311882127635
116,es ,0.0010461245839277222,0.003131415952105726
117,esi,0.0008559201141226819,0.0007159986887734856
118,ess,0.0038040893961008085,0.0010567450527078552
119,eti,0.0012363290537327628,0.0004011317955176757
120,f a,0.0008559201141226819,0.000707372198547299
121,fat,0.0010461245839277222,8.195165714877245e-05
122,for,0.0003804089396100808,0.0017986232121599006
123,ght,0.0015216357584403233,0.0003838788150653025
124,gia,0.0024726581074655256,5.175894135711944e-05
125,gue,0.0012363290537327628,6.90119218094926e-05
126,had,0.0006657156443176414,0.0002760476872379704
127,hag,0.0026628625772705658,0.00020703576542847776
128,har,0.0017118402282453639,0.000405445040630769
129,hil,0.001806942463147884,0.00041838477597004885
130,hoa,0.0001902044698050404,1.293973533927986e-05
131,ht ,0.0010461245839277222,0.0002760476872379704
132,iar,0.004755111745126011,9.057814737495902e-05
133,ica,0.0006657156443176414,0.0019927192422490984
134,igh,0.0015216357584403233,0.0007246251789996722
135,igu,0.0010461245839277222,1.725298045237315e-05
136,ill,0.001806942463147884,0.00043132451130932866
137,in ,0.0006657156443176414,0.004088956367212436
138,ina,0.005135520684736091,0.0009057814737495903
139,ion,0.00456490727532097,0.004477148427390832
140,isc,0.0011412268188302425,0.00019409603008919792
141,ise,0.0017118402282453639,0.0008971549835234037
142,ite,0.0011412268188302425,0.0004787702075533548
143,l d,0.0012363290537327628,0.00038819206017839584
