,NGram,percent_in_tag,percent_in_other
0, abs,0.001030502885408079,0.0001959631589261219
1,absc,0.00840432353210589,7.719760806180559e-05
2,ain ,0.00034350096180269305,0.00030879043224722237
3,almi,0.0005267014747641293,6.532105297537396e-05
4,ardi,0.006732618851332784,0.00015439521612361118
5,brai,0.000297700833562334,7.719760806180559e-05
6,bsce,0.00840432353210589,7.719760806180559e-05
7,card,0.006732618851332784,0.00014251866103717956
8,cess,0.00840432353210589,0.00023159282418541677
9,diti,0.006183017312448475,0.0004038028729386754
10,doca,0.005793716222405423,5.938277543215815e-06
11,doph,0.0005038014106439498,unique_to_tag
12,elit,0.0024961069890995693,1.187655508643163e-05
13,endo,0.0068013190436933225,0.0001662717712100428
14,eomy,0.002381606668498672,5.938277543215815e-06
15,erit,0.0033892094897865713,9.501244069145303e-05
16,halm,0.0005267014747641293,2.375311017286326e-05
17,htha,0.0005267014747641293,2.375311017286326e-05
18,in a,0.000297700833562334,0.0007066550276426819
19,itis,0.01483924154987634,0.0008907416314823723
20,iton,0.0023129064761381333,1.187655508643163e-05
21,liti,0.0034121095539067507,0.00013658038349396374
22,lmit,0.0005038014106439498,1.7814832629647445e-05
23,miti,0.0005038014106439498,5.344449788894233e-05
24,myel,0.0024961069890995693,5.938277543215815e-05
25,n ab,0.000297700833562334,5.938277543215815e-05
26,ndoc,0.0060914170559677565,4.750622034572652e-05
27,ndop,0.0005038014106439498,1.187655508643163e-05
28,niti,0.002725107630301365,0.00017221004875325863
29,ocar,0.006686818723092424,7.719760806180559e-05
30,omye,0.0024961069890995693,1.187655508643163e-05
31,onit,0.002381606668498672,1.7814832629647445e-05
32,opht,0.0005267014747641293,2.375311017286326e-05
33,oste,0.0024045067326188513,4.750622034572652e-05
34,peri,0.005152514427040396,0.000576012921691934
35,phth,0.0010992030777686177,2.375311017286326e-05
36,rain,0.0003206008976825135,0.00021377799155576933
37,rdit,0.006160117248328295,4.750622034572652e-05
38,rito,0.0023129064761381333,1.187655508643163e-05
39,sces,0.00840432353210589,7.719760806180559e-05
40,steo,0.002381606668498672,1.187655508643163e-05
41,teom,0.002381606668498672,5.938277543215815e-06
42,thal,0.0005267014747641293,4.15679428025107e-05
43,toni,0.0023129064761381333,1.187655508643163e-05
44,yeli,0.0024961069890995693,5.938277543215815e-05
45, cys,0.000641201795365027,5.344449788894233e-05
46, fib,0.0004809013465237703,0.00013064210595074792
47, in ,0.0005725016030044885,0.0030879043224722237
48, inf,0.012938536227901438,0.001573643548952191
49, lin,0.0001374003847210772,0.00012470382840753212
50, per,0.001145003206008977,0.0007779143581612718
51, sep,0.001832005129614363,0.00012470382840753212
52,aemi,0.013854538792708619,unique_to_tag
53,apd ,0.0008015022442062838,unique_to_tag
54,ar i,0.00016030044884125674,4.750622034572652e-05
55,ar l,0.0001374003847210772,2.375311017286326e-05
56,ary ,0.0019236053860950811,0.0004572473708276177
57,ascu,0.0003206008976825135,4.15679428025107e-05
58,atit,0.00041220115416323167,0.00011282727332110048
59,bros,0.0004809013465237703,0.00013064210595074792
60,c fi,0.0004809013465237703,3.562966525929489e-05
61,caem,0.0032976092333058533,unique_to_tag
62,capd,0.0008015022442062838,unique_to_tag
63,ctio,0.012984336356141797,0.0014370631654582271
64,cula,0.00034350096180269305,0.00029097559961757495
65,cyst,0.0010076028212878997,5.938277543215815e-05
66,d pe,0.0008015022442062838,0.0001187655508643163
67,e se,0.0003664010259228726,0.000415679428025107
