,NGram,percent_in_tag,percent_in_other
0, vir,0.005040101678572994,0.0004394325381979703
1,1252,2.1913485559013016e-05,unique_to_tag
2,1d12,2.1913485559013016e-05,unique_to_tag
3,2 vi,2.1913485559013016e-05,unique_to_tag
4,252 ,2.1913485559013016e-05,unique_to_tag
5,52 v,2.1913485559013016e-05,unique_to_tag
6,71d1,2.1913485559013016e-05,unique_to_tag
7,d125,2.1913485559013016e-05,unique_to_tag
8,irus,0.009861068501555858,0.0005047535911733443
9,viru,0.009861068501555858,0.0005166301462597759
10,1 vi,2.1913485559013016e-05,unique_to_tag
11,31 v,2.1913485559013016e-05,unique_to_tag
12,3531,2.1913485559013016e-05,unique_to_tag
13,531 ,2.1913485559013016e-05,unique_to_tag
14,78v3,2.1913485559013016e-05,unique_to_tag
15,8v35,2.1913485559013016e-05,unique_to_tag
16,v353,2.1913485559013016e-05,unique_to_tag
17, def,6.574045667703904e-05,0.00017814832629647445
18,a de,0.0002629618267081562,5.938277543215815e-05
19,abio,2.1913485559013016e-05,unique_to_tag
20,biot,4.382697111802603e-05,0.00021377799155576933
21,ctiv,2.1913485559013016e-05,0.0008254205785069983
22,defe,2.1913485559013016e-05,2.375311017286326e-05
23,ecti,4.382697111802603e-05,0.0013836186675692849
24,efec,2.1913485559013016e-05,1.187655508643163e-05
25,fect,4.382697111802603e-05,0.0013064210595074793
26,hia ,0.001358636104658807,1.7814832629647445e-05
27,ia d,0.00015339439891309112,unique_to_tag
28,iotr,8.765394223605206e-05,unique_to_tag
29,ophi,0.001358636104658807,0.00013064210595074792
30,otro,0.00019722137003111716,1.187655508643163e-05
31,phia,0.0007888854801244686,unique_to_tag
32,roph,0.00032870228338519525,0.00018408660383969027
33,tiva,2.1913485559013016e-05,0.00017814832629647445
34,trop,0.0002629618267081562,0.00014845693858039536
35, cae,6.574045667703904e-05,unique_to_tag
36,a ca,0.0003944427400622343,0.00013064210595074792
37,absi,4.382697111802603e-05,unique_to_tag
38,aeru,8.765394223605206e-05,3.562966525929489e-05
39,bsid,4.382697111802603e-05,unique_to_tag
40,caer,2.1913485559013016e-05,unique_to_tag
41,dia ,0.0010518473068326247,4.15679428025107e-05
42,erul,4.382697111802603e-05,unique_to_tag
43,ia c,0.0015558574746899242,5.938277543215815e-05
44,idia,0.0001314809133540781,unique_to_tag
45,rule,2.1913485559013016e-05,2.9691387716079075e-05
46,sidi,0.0002410483411491432,5.938277543215815e-06
47,ulea,4.382697111802603e-05,unique_to_tag
48, acr,2.1913485559013016e-05,1.187655508643163e-05
49,acau,2.1913485559013016e-05,unique_to_tag
