,sentence_number,word,pos,tag
0,0,Botulinum,NNP,PATH
1,0,neurotoxin,NN,O
2,0,(,-LRB-,O
3,0,BoNT,NN,O
4,0,),-RRB-,O
5,0,is,VBZ,O
6,0,responsible,JJ,O
7,0,for,IN,O
8,0,botulism,NN,DIS
9,0,",",",",O
10,0,a,DT,O
11,0,clinical,JJ,O
12,0,condition,NN,O
13,0,resulting,VBG,O
14,0,in,IN,O
15,0,flaccid,JJ,SYMP
16,0,muscle,NN,SYMP
17,0,paralysis,NN,SYMP
18,0,and,CC,O
19,0,potentially,RB,O
20,0,death,NN,O
21,0,.,.,O
22,1,The,DT,O
23,1,light,JJ,O
24,1,chain,NN,O
25,1,is,VBZ,O
26,1,responsible,JJ,O
27,1,for,IN,O
28,1,its,PRP$,O
29,1,intracellular,JJ,O
30,1,toxicity,NN,O
31,1,through,IN,O
32,1,its,PRP$,O
33,1,endopeptidase,NN,O
34,1,activity,NN,O
35,1,.,.,O
36,2,Available,JJ,O
37,2,crystal,NN,O
38,2,structures,NNS,O
39,2,of,IN,O
40,2,BoNT/A,NN,O
41,2,light,NN,O
42,2,chains,NNS,O
43,2,(,-LRB-,O
44,2,LCA,NN,O
45,2,),-RRB-,O
46,2,are,VBP,O
47,2,based,VBN,O
48,2,on,IN,O
49,2,various,JJ,O
50,2,truncated,VBN,O
51,2,versions,NNS,O
52,2,(,-LRB-,O
53,2,tLCA,NN,O
54,2,),-RRB-,O
55,2,of,IN,O
56,2,the,DT,O
57,2,full-length,JJ,O
58,2,LCA,NN,O
59,2,(,-LRB-,O
60,2,fLCA,NN,O
61,2,),-RRB-,O
62,2,and,CC,O
63,2,do,VBP,O
64,2,not,RB,O
65,2,necessarily,RB,O
66,2,reflect,VB,O
67,2,the,DT,O
68,2,true,JJ,O
69,2,structure,NN,O
70,2,of,IN,O
71,2,LCA,NNP,O
72,2,in,IN,O
73,2,solution,NN,O
74,2,.,.,O
75,3,The,DT,O
76,3,understanding,NN,O
77,3,of,IN,O
78,3,the,DT,O
79,3,mechanism,NN,O
80,3,of,IN,O
81,3,action,NN,O
82,3,",",",",O
83,3,longevity,NN,O
84,3,of,IN,O
85,3,intoxication,NN,O
86,3,",",",",O
87,3,and,CC,O
88,3,an,DT,O
89,3,improved,JJ,O
90,3,development,NN,O
91,3,of,IN,O
92,3,endopeptidase,NN,O
93,3,inhibitors,NNS,O
94,3,are,VBP,O
95,3,dependent,JJ,O
96,3,on,IN,O
97,3,first,JJ,O
98,3,having,VBG,O
99,3,a,DT,O
100,3,better,JJR,O
101,3,insight,NN,O
102,3,into,IN,O
103,3,the,DT,O
104,3,structure,NN,O
105,3,of,IN,O
106,3,LCA,NNP,O
107,3,in,IN,O
108,3,solution,NN,O
109,3,.,.,O
110,4,Using,VBG,O
111,4,an,DT,O
112,4,array,NN,O
113,4,of,IN,O
114,4,biophysical,JJ,O
115,4,techniques,NNS,O
116,4,",",",",O
117,4,we,PRP,O
118,4,report,VBP,O
119,4,that,IN,O
120,4,the,DT,O
121,4,fLCA,NN,O
122,4,structure,NN,O
123,4,is,VBZ,O
124,4,significantly,RB,O
125,4,more,RBR,O
126,4,flexible,JJ,O
127,4,than,IN,O
128,4,tLCA,NN,O
129,4,in,IN,O
130,4,solution,NN,O
131,4,",",",",O
132,4,which,WDT,O
133,4,may,MD,O
134,4,be,VB,O
135,4,responsible,JJ,O
136,4,for,IN,O
137,4,its,PRP$,O
138,4,dramatically,RB,O
139,4,higher,JJR,O
140,4,enzymatic,JJ,O
141,4,activity,NN,O
142,4,.,.,O
143,5,This,DT,O
144,5,seems,VBZ,O
145,5,to,TO,O
146,5,be,VB,O
147,5,achieved,VBN,O
148,5,by,IN,O
149,5,a,DT,O
150,5,much,JJ,O
151,5,stronger,JJR,O
152,5,",",",",O
153,5,more,RBR,O
154,5,rapid,JJ,O
155,5,binding,NN,O
156,5,to,TO,O
157,5,substrate,NN,O
158,5,(,-LRB-,O
159,5,SNAP-25,NN,O
160,5,),-RRB-,O
161,5,of,IN,O
162,5,the,DT,O
163,5,fLCA,NN,O
164,5,compared,VBN,O
165,5,to,TO,O
166,5,tLCA,NN,O
167,5,.,.,O
168,6,These,DT,O
169,6,results,NNS,O
170,6,suggest,VBP,O
171,6,that,IN,O
172,6,the,DT,O
173,6,C-terminus,NN,O
174,6,of,IN,O
175,6,LCA,NN,O
176,6,plays,VBZ,O
177,6,a,DT,O
178,6,critical,JJ,O
179,6,role,NN,O
180,6,in,IN,O
181,6,introducing,VBG,O
182,6,a,DT,O
183,6,flexible,JJ,O
184,6,structure,NN,O
185,6,",",",",O
186,6,which,WDT,O
187,6,is,VBZ,O
188,6,essential,JJ,O
189,6,for,IN,O
190,6,its,PRP$,O
191,6,biological,JJ,O
192,6,function,NN,O
193,6,.,.,O
194,7,This,DT,O
195,7,is,VBZ,O
196,7,the,DT,O
197,7,first,JJ,O
198,7,report,NN,O
199,7,of,IN,O
200,7,such,PDT,O
201,7,a,DT,O
202,7,massive,JJ,O
203,7,structural,JJ,O
204,7,role,NN,O
205,7,of,IN,O
206,7,the,DT,O
207,7,C-terminus,NN,O
208,7,of,IN,O
209,7,a,DT,O
210,7,protein,NN,O
211,7,being,VBG,O
212,7,critical,JJ,O
213,7,for,IN,O
214,7,maintaining,VBG,O
215,7,a,DT,O
216,7,functional,JJ,O
217,7,state,NN,O
218,7,.,.,O
219,8,Previous,JJ,O
220,8,studies,NNS,O
221,8,have,VBP,O
222,8,revealed,VBN,O
223,8,that,IN,O
224,8,hepatitis,NN,PATH
225,8,B,NN,PATH
226,8,virus,NN,PATH
227,8,(,-LRB-,O
228,8,HBV,NN,PATH
229,8,),-RRB-,O
230,8,infection,NN,O
231,8,may,MD,O
232,8,be,VB,O
233,8,related,VBN,O
234,8,to,TO,O
235,8,rheumatoid,JJ,O
236,8,arthritis,NN,DIS
237,8,(,-LRB-,O
238,8,RA,NN,O
239,8,),-RRB-,O
240,8,",",",",O
241,8,but,CC,O
242,8,there,EX,O
243,8,are,VBP,O
244,8,no,DT,O
245,8,studies,NNS,O
246,8,on,IN,O
247,8,the,DT,O
248,8,presence,NN,O
249,8,of,IN,O
250,8,HBV,NN,O
251,8,antigens,NNS,O
252,8,or,CC,O
253,8,nucleic,JJ,O
254,8,acid,NN,O
255,8,in,IN,O
256,8,synovium,NN,O
257,8,from,IN,O
258,8,patients,NNS,O
259,8,with,IN,O
260,8,RA,NN,O
261,8,with,IN,O
262,8,HBV,NN,O
263,8,infection,NN,O
264,8,.,.,O
265,9,In,IN,O
266,9,the,DT,O
