,sentence_number,word,pos,tag
0,0,Schizophyllum,NN,PATH
1,0,commune,NN,PATH
2,0,",",",",O
3,0,a,DT,O
4,0,basidiomycetous,JJ,O
5,0,fungus,NN,O
6,0,",",",",O
7,0,is,VBZ,O
8,0,a,DT,O
9,0,common,JJ,O
10,0,invader,NN,O
11,0,of,IN,O
12,0,rotten,JJ,O
13,0,wood,NN,O
14,0,.,.,O
15,1,This,DT,O
16,1,fungus,NN,O
17,1,rarely,RB,O
18,1,causes,VBZ,O
19,1,mycotic,JJ,O
20,1,disease,NN,O
21,1,in,IN,O
22,1,humans,NNS,O
23,1,",",",",O
24,1,especially,RB,O
25,1,cutaneous,JJ,DIS
26,1,infection,NN,DIS
27,1,In,IN,O
28,1,this,DT,O
29,1,paper,NN,O
30,1,",",",",O
31,1,we,PRP,O
32,1,describe,VBP,O
33,1,the,DT,O
34,1,first,JJ,O
35,1,case,NN,O
36,1,of,IN,O
37,1,cutaneous,JJ,O
38,1,granuloma,NN,DIS
39,1,caused,VBN,O
40,1,by,IN,O
41,1,S.,NNP,PATH
42,1,commune,NN,PATH
43,1,in,IN,O
44,1,a,DT,O
45,1,Chinese,JJ,O
46,1,woman,NN,O
47,1,.,.,O
48,2,A,DT,O
49,2,25-year-old,JJ,O
50,2,female,NN,O
51,2,with,IN,O
52,2,a,DT,O
53,2,two-year,JJ,O
54,2,history,NN,O
55,2,of,IN,O
56,2,erythema,NN,O
57,2,",",",",O
58,2,papules,NNS,O
59,2,",",",",O
60,2,nodules,NNS,SYMP
61,2,",",",",O
62,2,and,CC,O
63,2,scales,NNS,O
64,2,on,IN,O
65,2,her,PRP$,O
66,2,sole,NN,O
67,2,of,IN,O
68,2,left,JJ,O
69,2,foot,NN,O
70,2,was,VBD,O
71,2,presented,VBN,O
72,2,to,TO,O
73,2,our,PRP$,O
74,2,outpatient,NN,O
75,2,center,NN,O
76,2,.,.,O
77,3,Samples,NNS,O
78,3,were,VBD,O
79,3,obtained,VBN,O
80,3,by,IN,O
81,3,the,DT,O
82,3,scraping,VBG,O
83,3,of,IN,O
84,3,lesion,NN,SYMP
85,3,and,CC,O
86,3,for,IN,O
