pathogen,disease,symptoms
71D1252 virus,,
78V3531 virus,,
Abiotrophia defectiva,"Endophthalmitis, brain abscess, osteomyelitis, peritonitis, endocarditis",
Absidia caerulea,,
Acaulium acremonium,,
Achaetomium strumarium,,
Achimota rubulavirus 1,,
Achimota rubulavirus 2,,
Achromobacter denitrificans,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
Achromobacter insolitus,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
Achromobacter piechaudii,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
Achromobacter ruhlandii,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
Achromobacter spanius,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
Achromobacter xylosoxidans,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
Acidaminococcus fermentans,"Abscesses, postsurgical infections",
Acidovorax avenae,"Wound infection, UTI, bacteraemia, meningitis, septic arthritis",
Acidovorax delafieldii,"Wound infection, UTI, bacteraemia, meningitis, septic arthritis",
Acidovorax facilis,"Wound infection, UTI, bacteraemia, meningitis, septic arthritis",
Acidovorax temperans,"Wound infection, UTI, bacteraemia, meningitis, septic arthritis",
Acinetobacter baumannii,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acinetobacter calcoaceticus,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acinetobacter haemolyticus,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acinetobacter johnsonii,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acinetobacter junii,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acinetobacter lwoffii,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acinetobacter parvus,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acinetobacter radioresistens,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acinetobacter schindleri,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acinetobacter ursingii,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
Acremonium blochii,,
Acremonium curvulum,,
Acremonium hyalinulum,,
Acremonium potronii,,
Acremonium spinosum,,
Acrophialophora fusispora,,
Actinobacillus equuli,"Wound infection, abscesses, endocarditis, meningitis",
Actinobacillus hominis,"Septicaemia, empyema",
Actinobacillus lignieresii,"Wound infection, abscesses, endocarditis, meningitis",
Actinobacillus suis,"Wound infection, abscesses, endocarditis, meningitis",
Actinobacillus ureae,actinobacillosis;Meningitis; pneumonia; endocarditis; hepatitis; peritonitis,
Actinobaculum massiliense,"Pyelonephritis, UTI, septicaemia, superficial skin infection",
Actinomadura latina,"Actinomycetoma, Madura foot",
Actinomadura madurae,"Actinomycetoma, Madura foot",
Actinomadura pelletieri,"Actinomycetoma, Madura foot",
Actinomadura vinacea,"Actinomycetoma, Madura foot",
Actinomucor elegans,,
Actinomyces cardiffensis,Actinomycosis,
Actinomyces dentalis,Actinomycosis,
Actinomyces europaeus,Actinomycosis,
Actinomyces funkei,Actinomycosis,
Actinomyces georgiae,Actinomycosis,
Actinomyces gerencseriae,actinomycosis;Actinomycosis,
Actinomyces graevenitzii,Actinomycosis,
Actinomyces hongkongensis,Actinomycosis,
Actinomyces israelii,actinomycosis;Actinomycosis,
Actinomyces meyeri,actinomycosis;Actinomycosis,
Actinomyces naeslundii,actinomycosis;Actinomycosis,
Actinomyces neuii subsp. anitratus,Actinomycosis,
Actinomyces neuii subsp. neuii,Actinomycosis,
Actinomyces odontolyticus,actinomycosis;Actinomycosis,
Actinomyces oricola,Actinomycosis,
Actinomyces radicidentis,Actinomycosis,
Actinomyces radingae,Actinomycosis,
Actinomyces turicensis,Actinomycosis,
Actinomyces urogenitalis,Actinomycosis,
